"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 0+ Biomass (mt)","Spawning Biomass (mt)","Fraction Unfished"
2024,66553.8,66553.8,1001150,339359,0.938383
2025,61674.5,61674.5,940224,316620,0.875506
2026,57621,57621,887426,295131,0.816086
2027,54407,54407,842646,275514,0.761843
2028,51965,51965,805255,258258,0.714126
