"Year","OFL (mt)","ABC (mt)","ACL (mt)","Catch (mt)"
2014,"fill in","fill in","fill in",5490.38
2015,"fill in","fill in","fill in",7260.14
2016,"fill in","fill in","fill in",6043.54
2017,"fill in","fill in","fill in",6307.57
2018,"fill in","fill in","fill in",5145.66
2019,"fill in","fill in","fill in",5647.36
2020,"fill in","fill in","fill in",5014.3
2021,"fill in","fill in","fill in",4696.22
2022,"fill in","fill in","fill in",5186.15
2023,"fill in","fill in","fill in",4250.32
