"Year","Spawning Biomass (mt)","Lower Interval","Upper Interval","Fraction Unfished","Lower Interval","Upper Interval"
2014,335745,-1033023.28809933,1704513.28809933,0.928391,0.659025309748722,1.19775669025128
2015,335954,-1032871.12705488,1704779.12705488,0.928969,0.661618152724829,1.19631984727517
2016,335617,-1033247.32633457,1704481.32633457,0.928036,0.657041579677569,1.19903042032243
2017,335805,-1033124.00514606,1704734.00514606,0.928557,0.659353986759439,1.19776001324056
2018,335921,-1033078.56384951,1704920.56384951,0.928876,0.660680408247493,1.19707159175251
2019,336471,-1032624.60208475,1705566.60208475,0.930398,0.667696187296158,1.19309981270384
2020,336844,-1032333.9205721,1706021.9205721,0.931428,0.672399159803187,1.19045684019681
2021,337434,-1031830.15898742,1706698.15898742,0.93306,0.679973770604312,1.18614622939569
2022,338122,-1031222.51751078,1707466.51751078,0.934964,0.688865042209197,1.1810629577908
2023,338598,-1030801.39650235,1707997.39650235,0.936279,0.695009393467104,1.1775486065329
2024,339359,-1030105.07531384,1708823.07531384,0.938383,0.704904250305651,1.17186174969435
