"Var1","Freq"
"Size_DblN_ascend_se_Fleet_1(1)",6
"Size_DblN_ascend_se_Fleet_2(2)",6
"Size_DblN_ascend_se_Fleet_3(3)",7
"Size_DblN_ascend_se_Fleet_4(4)",9
"Size_DblN_peak_Fleet_3(3)",4
