"","Label","Type","Base run","Best model","Run 2","Run 3","Run 4","Run 5","Run 6","Run 7 (2000 catch)","Run 8 (1986 catch)"
"65",NA,"Main_RecrDev_1955",-0.104579,-0.224772,-0.219665,-0.0252524,-0.146005,-0.27317,-0.406799,NA,NA
"66",NA,"Main_RecrDev_1956",-0.101876,-0.238347,-0.232415,-0.00547002,-0.15047,-0.32564,-0.455434,NA,NA
"67",NA,"Main_RecrDev_1957",-0.0990598,-0.252678,-0.245812,0.0189413,-0.155568,-0.35727,-0.506241,NA,NA
"68",NA,"Main_RecrDev_1958",-0.0962692,-0.26822,-0.259624,0.0482987,-0.16121,-0.385478,-0.558382,NA,NA
"69",NA,"Main_RecrDev_1959",-0.0935315,-0.283003,-0.256079,0.0834318,-0.130685,-0.417227,-0.612842,NA,NA
"70",NA,"Main_RecrDev_1960",-0.0906204,-0.300756,-0.278808,0.127591,-0.142319,-0.45819,-0.673578,NA,NA
"71",NA,"Main_RecrDev_1961",-0.0867362,-0.322104,-0.318786,0.140392,-0.190643,-0.508183,0.317844,NA,NA
"72",NA,"Main_RecrDev_1962",-0.0825647,-0.343718,-0.350785,0.0521901,-0.229407,-0.576756,0.220416,NA,NA
"73",NA,"Main_RecrDev_1963",-0.0774831,-0.363503,-0.347015,-0.0566213,-0.212898,-0.693323,-0.694925,NA,NA
"74",NA,"Main_RecrDev_1964",-0.0724095,-0.390829,-0.359803,-0.0675644,-0.204957,-0.894648,-0.822586,NA,NA
"75",NA,"Main_RecrDev_1965",-0.0663863,-0.410764,-0.362937,0.0794281,-0.162768,-1.04572,-0.512579,NA,NA
"76",NA,"Main_RecrDev_1966",-0.059651,-0.424981,-0.407621,0.290643,-0.190314,-1.03939,-0.539042,NA,NA
"77",NA,"Main_RecrDev_1967",-0.0546136,-0.433751,-0.399886,0.532301,-0.138495,-0.736635,-0.416093,NA,NA
"78",NA,"Main_RecrDev_1968",-0.0483367,-0.432957,-0.376493,0.539492,-0.0335867,-0.886468,-0.454384,NA,NA
"79",NA,"Main_RecrDev_1969",-0.0444672,-0.421407,-0.340625,0.437169,0.0968139,-0.791995,-0.405444,NA,NA
"80",NA,"Main_RecrDev_1970",-0.0454444,-0.403571,-0.275542,0.219995,0.264898,-0.789289,-0.312008,NA,NA
"81",NA,"Main_RecrDev_1971",-0.0581788,-0.353019,-0.130738,-0.026086,0.219705,-0.921063,-0.237611,NA,NA
"82",NA,"Main_RecrDev_1972",-0.0937082,-0.205156,0.15522,-0.276596,-0.160158,-0.529036,-0.0657619,NA,NA
"83",NA,"Main_RecrDev_1973",-0.149175,0.296575,0.424725,-0.530247,-0.519107,2.2377,0.460702,NA,NA
"84",NA,"Main_RecrDev_1974",-0.212918,0.191369,-0.248043,-0.789799,-0.747271,0.134893,0.191755,NA,NA
"85",NA,"Main_RecrDev_1975",-0.281897,-0.479273,-0.666959,-1.05762,-0.82577,1.35783,0.143938,NA,NA
"86",NA,"Main_RecrDev_1976",-0.340205,-0.81927,-0.869919,-1.31073,-0.820765,-0.175063,-0.438524,NA,NA
"87",NA,"Main_RecrDev_1977",-0.393556,-0.93392,-0.991441,-1.49919,-0.713476,1.44112,-0.36869,NA,NA
"88",NA,"Main_RecrDev_1978",-0.445974,-0.739732,-0.999122,-1.44344,-0.205616,-1.43519,0.465596,NA,NA
"89",NA,"Main_RecrDev_1979",-0.497891,-0.197778,-0.92056,-0.903967,0.023489,-2.01452,0.0268352,NA,NA
"90",NA,"Main_RecrDev_1980",-0.546547,0.198013,0.436777,-0.41684,0.003617,-2.29761,-0.748245,NA,NA
"91",NA,"Main_RecrDev_1981",-0.635308,-0.906203,-0.211406,-0.853037,-0.196901,-2.35081,0.312564,NA,NA
"92",NA,"Main_RecrDev_1982",-0.708664,-0.105002,-0.838194,-0.509453,-0.65391,-2.43436,0.0701139,NA,NA
"93",NA,"Main_RecrDev_1983",-0.514884,-0.228862,0.227311,-0.138222,0.334245,-2.37748,-0.150061,NA,NA
"94",NA,"Main_RecrDev_1984",0.327208,-0.262645,-0.555639,-0.744585,-1.13763,-2.00672,0.278079,NA,NA
"95",NA,"Main_RecrDev_1985",-0.233705,0.168192,0.156722,-0.266574,0.603114,-1.7601,-0.922301,NA,NA
"96",NA,"Main_RecrDev_1986",-0.494298,-0.49464,0.0782194,-0.610939,-1.35876,-1.15937,-0.185671,NA,-5
"97",NA,"Main_RecrDev_1987",-0.468289,-0.300783,-0.807211,-0.0921156,-0.0238201,-0.463752,-0.606762,NA,-5
"98",NA,"Main_RecrDev_1988",-0.470895,-0.346724,-0.11766,-0.416082,-0.595773,0.16186,0.178362,NA,1.63509
"99",NA,"Main_RecrDev_1989",-0.479737,0.0164475,-0.358856,-0.422962,-0.185993,0.185044,-0.00401847,NA,-2.26209
"100",NA,"Main_RecrDev_1990",-0.462504,-0.137181,0.0745502,-0.564534,-0.0098186,0.175418,-0.195472,NA,0.177684
"101",NA,"Main_RecrDev_1991",-0.486361,-0.273117,-0.217843,-0.51856,-0.187244,-0.337726,-0.541736,NA,-2.77883
"102",NA,"Main_RecrDev_1992",-0.576056,-0.338986,-0.254154,-0.887906,-0.290728,-0.226561,-0.392185,NA,-2.97174
"103",NA,"Main_RecrDev_1993",-0.64479,-0.368631,-0.349302,-0.696537,-0.355758,-0.386726,-0.537009,NA,-2.55509
"104",NA,"Main_RecrDev_1994",-0.548505,-0.718954,-0.486707,-2.09701,-0.524362,-0.642247,-0.670205,NA,-1.59961
"105",NA,"Main_RecrDev_1995",-0.540712,-0.479115,-0.607473,0.516275,-0.626886,-1.55504,-1.837,NA,0.194851
"106",NA,"Main_RecrDev_1996",-0.770896,-0.963986,-0.48036,-2.84295,-0.520499,1.35471,1.18862,NA,-1.2723
"107",NA,"Main_RecrDev_1997",-0.941567,0.689369,-0.52776,-1.85013,-0.464454,-1.07233,-1.4451,NA,0.404121
"108",NA,"Main_RecrDev_1998",-1.10197,-1.06961,0.306283,-0.44518,0.804192,0.513316,-0.448526,NA,-0.92617
"109",NA,"Main_RecrDev_1999",-1.28234,-0.139256,-1.31603,-1.30278,-1.87741,-0.0252843,-0.373449,NA,-2.15247
"110",NA,"Main_RecrDev_2000",-1.01458,-0.679834,-0.371574,-0.533269,0.139033,0.316643,-0.210347,NA,-2.08538
"111",NA,"Main_RecrDev_2001",-0.737946,-0.348495,-1.41961,-1.49986,-1.23832,0.577871,0.0957785,NA,0.389787
"112",NA,"Main_RecrDev_2002",-0.777596,-0.14509,-0.285148,-0.615412,0.177956,-0.234953,-0.914708,NA,-0.54743
"113",NA,"Main_RecrDev_2003",-0.556722,-0.648716,-0.554937,-0.300841,-0.351048,0.193604,-0.247952,NA,0.549863
"114",NA,"Main_RecrDev_2004",-0.47073,-0.266902,-0.722411,-0.517576,-0.440977,0.573842,0.417125,NA,-0.116265
"115",NA,"Main_RecrDev_2005",-0.443284,0.0832339,-0.278645,-0.827007,0.087686,0.316684,-0.0847872,NA,-1.17879
"116",NA,"Main_RecrDev_2006",-0.798468,-0.0557348,-0.0992297,-0.676585,0.0703156,0.0837478,-0.323465,NA,-0.756396
"117",NA,"Main_RecrDev_2007",-0.807548,-0.197437,-0.202576,-0.33136,0.110756,-0.113323,-0.421645,NA,-0.634988
"118",NA,"Main_RecrDev_2008",-0.410754,-0.49836,-0.48905,-1.38214,-0.471079,0.652495,0.384869,NA,-0.565238
"119",NA,"Main_RecrDev_2009",-0.831932,0.0927146,-0.61164,-0.9275,-0.0958508,-0.710273,-1.06165,NA,-0.628242
"120",NA,"Main_RecrDev_2010",-1.02141,-0.578288,-0.043313,-0.640515,0.148621,-0.63514,-1.00719,NA,-0.78033
"121",NA,"Main_RecrDev_2011",-0.800812,-0.838602,-0.98705,-1.27499,-1.00266,-0.0871898,-0.0794525,NA,-0.934188
"122",NA,"Main_RecrDev_2012",-0.882502,-0.262889,-0.799373,-1.10998,-0.41362,-1.07254,-1.07983,NA,-1.01876
"123",NA,"Main_RecrDev_2013",-1.0228,-0.94148,-0.456468,-0.642393,-0.324421,-0.869302,-0.841918,NA,-0.949985
"124",NA,"Main_RecrDev_2014",-0.951251,-0.646952,-1.12484,-0.0454524,-0.985402,-0.556614,-0.386913,NA,-0.673273
"125",NA,"Main_RecrDev_2015",-0.566055,-0.558735,-0.688846,-1.88179,-0.511393,1.10304,0.864133,NA,-0.534249
"126",NA,"Main_RecrDev_2016",-1.16642,0.281079,-0.730099,-1.89738,-0.3835,0.0294635,-1.2329,NA,0.328845
"127",NA,"Main_RecrDev_2017",-1.53881,-0.296575,0.0786757,-1.11171,0.56174,-1.13582,-1.77024,NA,0.405271
"128",NA,"Main_RecrDev_2018",-1.47244,-1.64462,-1.24521,-1.11193,-1.18139,-0.491835,-1.27168,NA,-1.2891
"129",NA,"Main_RecrDev_2019",-1.16495,-0.735107,-1.60951,-0.908507,-1.01269,-0.641208,-0.886542,NA,-2.47505
"130",NA,"Main_RecrDev_2020",-0.900345,-0.568931,-0.74092,-0.738639,-0.787328,-0.40476,-0.596768,NA,-0.324447
"131",NA,"Main_RecrDev_2021",-0.847023,-0.263719,-0.513415,-0.682061,-0.237671,-0.209609,-0.422863,NA,-0.208526
"132",NA,"Main_RecrDev_2022",-0.815862,-0.256225,-0.488399,-0.682747,-0.221476,-0.204412,-0.366843,NA,-0.202448
"133",NA,"Main_RecrDev_2023",-0.84205,-0.258228,-0.478311,-0.712368,-0.219616,-0.197879,-0.359248,NA,-0.190304
"134",NA,"ForeRecr_2024",0,0,0,0,0,0,0,NA,0
"135",NA,"InitF_seas_1_flt_1Fleet_1",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1.18409e-08,10
"136",NA,"InitF_seas_1_flt_2Fleet_2",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1.2338e-08,10
"137",NA,"InitF_seas_1_flt_3Fleet_3",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,NA,NA
"138",NA,"InitF_seas_1_flt_4Fleet_4",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,NA,NA
"139",NA,"LnQ_base_Fleet_1(1)",-18.4935,-18.5357,-17.939,-18.2957,-18.4111,-19.695,-19.1785,-22.2781,-20.536
"140",NA,"LnQ_base_Fleet_2(2)",-20.0122,-20.0798,-19.5947,-19.3395,-20.3247,-21.0115,-20.8045,-23.9888,-22.11
"141",NA,"LnQ_base_Fleet_3(3)",-8.16242,-7.44583,-8.01461,-6.47686,-8.78249,-8.4975,-9.18802,NA,NA
"142",NA,"Size_DblN_peak_Fleet_1(1)",36.0573,34.2925,31.2527,34.6201,27.3907,23.205,20.1408,58.7411,64.3944
"143",NA,"Size_DblN_top_logit_Fleet_1(1)",-10.237,-24.6353,-24.6353,-11.3291,-12.1066,-2.19066,-8.589,-24.6353,-24.6353
"144",NA,"Size_DblN_ascend_se_Fleet_1(1)",2.99211,2.77379,1.6738,2.50453,-3.99723,8.92181,4.01901,11.5707,11.999
"145",NA,"Size_DblN_descend_se_Fleet_1(1)",5.99497,4.60517,4.60517,4.60517,4.60517,4.60517,4.60517,4.60517,4.60517
"146",NA,"Size_DblN_start_logit_Fleet_1(1)",-15,-15,-15,-15,-15,-15,-15,-15,-15
"147",NA,"Size_DblN_end_logit_Fleet_1(1)",-2.94444,-2.94444,-2.94444,-2.94444,-2.94444,-2.94444,-2.94444,-4.59512,-2.94444
"148",NA,"Size_DblN_peak_Fleet_2(2)",36.9414,39.6122,34.6762,42.677,30.7495,37.8064,22.9324,68.626,79.8711
"149",NA,"Size_DblN_top_logit_Fleet_2(2)",-9.59222,-24.4121,-24.4121,-12.4921,-5.5115,-13.1209,-13.4372,-24.4121,-24.4121
"150",NA,"Size_DblN_ascend_se_Fleet_2(2)",3.0256,0.766475,2.67961,-3.99147,1.19902,-3.99734,8.85627,11.7469,11.9989
"151",NA,"Size_DblN_descend_se_Fleet_2(2)",5.83977,4.60517,4.60517,4.60517,4.60517,4.60517,4.60517,4.60517,4.60517
"152",NA,"Size_DblN_start_logit_Fleet_2(2)",-15,-15,-15,-15,-15,-15,-15,-15,-15
"153",NA,"Size_DblN_end_logit_Fleet_2(2)",-2.94444,-2.94444,-2.94444,-2.94444,-2.94444,-2.94444,-2.94444,-4.59512,-2.94444
"154",NA,"Size_DblN_peak_Fleet_3(3)",82.9887,74.9964,64.9979,72.4077,69.9986,80.939,22.4988,NA,NA
"155",NA,"Size_DblN_top_logit_Fleet_3(3)",1.4154,-0.847298,-1.60944,2.18359,2.41666,1.81953,-11.4056,NA,NA
"156",NA,"Size_DblN_ascend_se_Fleet_3(3)",6.46557,3.82423,0.626209,5.78404,5.78439,5.63313,-3.37197,NA,NA
"157",NA,"Size_DblN_descend_se_Fleet_3(3)",-4.49998,4.60517,4.60517,4.60517,4.60517,4.60517,4.60517,NA,NA
"158",NA,"Size_DblN_start_logit_Fleet_3(3)",-15,-15,-15,-15,-15,-15,-15,NA,NA
"159",NA,"Size_DblN_end_logit_Fleet_3(3)",-2.94444,-2.94444,-2.94444,-2.94444,-2.94444,-2.94444,-2.94444,NA,NA
"160",NA,"Size_DblN_peak_Fleet_4(4)",32.558,87.3965,87.3965,21.1261,87.3964,21.074,67.3965,NA,NA
"161",NA,"Size_DblN_top_logit_Fleet_4(4)",-0.473116,1.99999e-11,0.182322,0.65346,-0.0768721,-5.91288,0.222981,NA,NA
"162",NA,"Size_DblN_ascend_se_Fleet_4(4)",1.36332,-3.99677,-3.99616,4.29493,-3.99074,4.21353,-3.99555,NA,NA
"163",NA,"Size_DblN_descend_se_Fleet_4(4)",-4.49999,4.60517,4.60517,4.60517,4.60517,4.60517,4.60517,NA,NA
"164",NA,"Size_DblN_start_logit_Fleet_4(4)",-15,-15,-15,-15,-15,-15,-15,NA,NA
"165",NA,"Size_DblN_end_logit_Fleet_4(4)",6.90676,6.90676,6.90676,6.90676,6.90676,6.90676,6.90676,NA,NA
"166",NA,"LnQ_base_Fleet_4(4)",NA,-7.43156,-8.70646,-10.7943,-8.15657,-11.8204,-6.53323,NA,NA
"167",NA,"Q_extraSD_Fleet_1(1)",NA,NA,NA,NA,NA,NA,NA,0.0040562,NA
"168",NA,"Q_extraSD_Fleet_2(2)",NA,NA,NA,NA,NA,NA,NA,2.887e-08,NA
"169",NA,"ForeRecr_2025",NA,NA,NA,NA,NA,NA,NA,NA,0
"170",NA,"ForeRecr_2026",NA,NA,NA,NA,NA,NA,NA,NA,0
"171",NA,"ForeRecr_2027",NA,NA,NA,NA,NA,NA,NA,NA,0
"172",NA,"ForeRecr_2028",NA,NA,NA,NA,NA,NA,NA,NA,0
"173","Derived quantities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",NA,"SB0",80090.6,120465,141814,75482.3,110896,143365,100792,361642,116285
"175",NA,"SSB_2023",3479.67,30171.1,14325.6,4244.25,35958.6,55404,15404.2,338598,48108
"176",NA,"Bratio_2023",0.0434467,0.250455,0.101017,0.0562284,0.324256,0.386455,0.152831,0.936279,0.413708
"177",NA,"MSY_SPR",8377.46,6993.21,7583.97,7731.23,7127.1,4225.52,5480.1,44276.7,15006.9
"178",NA,"F_SPR",0.138729,0.307775,0.319353,0.226037,0.324824,0.0978616,0.112702,0.114113,0.0751331
