86,Main_RecrDev_2007,-0.296071,60,1,-5,5,0,0,act,0,-4.58E-08,dev
87,Main_RecrDev_2008,-0.678589,61,1,-5,5,0,0,act,0,-9.18E-09,dev
88,Main_RecrDev_2009,0.00854689,62,1,-5,5,0,0,act,0,1.20E-07,dev
89,Main_RecrDev_2010,-0.657454,63,1,-5,5,0,0,act,0,-1.74E-07,dev
90,Main_RecrDev_2011,-0.984043,64,1,-5,5,0,0,act,0,-1.02E-07,dev
91,Main_RecrDev_2012,-0.360419,65,1,-5,5,0,0,act,0,-7.02E-08,dev
92,Main_RecrDev_2013,-1.03671,66,1,-5,5,0,0,act,0,2.02E-07,dev
93,Main_RecrDev_2014,-0.770925,67,1,-5,5,0,0,act,0,2.03E-07,dev
94,Main_RecrDev_2015,-0.746566,68,1,-5,5,0,0,act,0,1.40E-07,dev
95,Main_RecrDev_2016,0.0871978,69,1,-5,5,0,0,act,0,3.98E-08,dev
96,Main_RecrDev_2017,-0.52842,70,1,-5,5,0,0,act,0,4.79E-09,dev
97,Main_RecrDev_2018,-0.316563,71,1,-5,5,0,0,act,0,3.86E-09,dev
98,Main_RecrDev_2019,-0.323354,72,1,-5,5,0,0,act,0,-7.76E-09,dev
99,Late_RecrDev_2020,0,73,4,-5,5,0,0,act,0,-1.61E-11,dev
100,Late_RecrDev_2021,0,74,4,-5,5,0,0,act,0,1.33E-12,dev
101,Late_RecrDev_2022,0,75,4,-5,5,0,0,act,0,3.59E-18,dev
102,Late_RecrDev_2023,0,76,4,-5,5,0,0,act,0,0,dev
