
Initial statistics: 75 variables; iteration 0; function evaluation 0; phase 1
Function value nan; maximum gradient component mag -1.1374e+07
Minimprove criterion = 0.0000e+00

 - final statistics:
75 variables; iteration 2; function evaluation 40
Function value nan; maximum gradient component mag 3.4421e+03
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  1.74480 -1.84587e+02 |  2  0.00710 -1.69826e+00 |  3  0.00696  1.30255e+00
  4  0.00740  2.41635e-01 |  5  0.01012 -7.24566e-01 |  6  0.00615 -3.38240e+00
  7  0.01088 -5.08871e+00 |  8  0.01215 -8.19932e+00 |  9  0.01636 -1.20708e+01
 10  0.01747 -1.76925e+01 | 11  0.01710 -2.39260e+01 | 12  0.01664 -3.15037e+01
 13  0.01730 -4.11411e+01 | 14  0.01697 -5.33500e+01 | 15  0.01697 -6.91535e+01
 16  0.01675 -8.88110e+01 | 17  0.01666 -1.13198e+02 | 18  0.01631 -1.41916e+02
 19  0.01487 -1.75323e+02 | 20 -0.01956 -1.71722e+02 | 21 -0.02332 -2.02352e+02
 22 -0.02296 -2.42233e+02 | 23 -0.02038 -2.90558e+02 | 24 -0.01879 -3.40572e+02
 25 -0.01576 -3.95763e+02 | 26 -0.01401 -4.45727e+02 | 27 -0.01233 -4.92335e+02
 28 -0.01218 -5.34402e+02 | 29 -0.00774 -6.07807e+02 | 30 -0.00726 -6.72279e+02
 31 -0.00795 -6.56121e+02 | 32 -0.00754 -4.69492e+02 | 33  0.01731 -1.64554e+02
 34  0.01473  2.53307e+02 | 35  0.00731  7.71062e+02 | 36  0.02030  1.50608e+03
 37  0.01869  1.68448e+03 | 38  0.01794  2.34529e+03 | 39  0.01819  2.81319e+03
 40  0.01172  2.74254e+03 | 41  0.01053  2.72286e+03 | 42  0.00962  2.90580e+03
 43  0.01219  3.29754e+03 | 44  0.01127  3.44207e+03 | 45  0.01780  3.41192e+03
 46  0.02140  2.76419e+03 | 47  0.01565  1.36673e+03 | 48  0.01500 -7.01791e+01
 49  0.02798 -1.01963e+03 | 50  0.02443 -1.07338e+03 | 51  0.02906 -1.07706e+03
 52  0.05270 -1.35460e+03 | 53  0.02692 -1.24931e+03 | 54  0.02893 -1.43462e+03
 55  0.02802 -1.59959e+03 | 56  0.02792 -1.80311e+03 | 57  0.02574 -1.85311e+03
 58  0.02555 -1.75568e+03 | 59  0.02474 -1.58989e+03 | 60  0.02704 -1.42547e+03
 61  0.02819 -1.12013e+03 | 62  0.02549 -6.92949e+02 | 63  0.02697 -4.15101e+02
 64  0.02906 -3.16999e+02 | 65  0.02699 -4.34034e+02 | 66  0.02788 -8.89870e+02
 67  0.02622 -1.36147e+03 | 68  0.02585 -1.37596e+03 | 69  0.02334 -8.12757e+02
 70  0.02158 -2.35810e+02 | 71  0.01864 -1.08218e+01 | 72  0.01511  2.45404e+01
 73  0.01405  7.17817e+00 | 74  0.00008  3.67713e+00 | 75 -0.00002  3.65842e+00

Initial statistics: 75 variables; iteration 0; function evaluation 0; phase 2
Function value nan; maximum gradient component mag 3.4421e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.25520  1.84587e+02 |  2  0.00710 -1.69826e+00 |  3  0.00696  1.30255e+00
  4  0.00740  2.41635e-01 |  5  0.01012 -7.24566e-01 |  6  0.00615 -3.38240e+00
  7  0.01088 -5.08871e+00 |  8  0.01215 -8.19932e+00 |  9  0.01636 -1.20708e+01
 10  0.01747 -1.76925e+01 | 11  0.01710 -2.39260e+01 | 12  0.01664 -3.15037e+01
 13  0.01730 -4.11411e+01 | 14  0.01697 -5.33500e+01 | 15  0.01697 -6.91535e+01
 16  0.01675 -8.88110e+01 | 17  0.01666 -1.13198e+02 | 18  0.01631 -1.41916e+02
 19  0.01487 -1.75323e+02 | 20 -0.01956 -1.71722e+02 | 21 -0.02332 -2.02352e+02
 22 -0.02296 -2.42233e+02 | 23 -0.02038 -2.90558e+02 | 24 -0.01879 -3.40572e+02
 25 -0.01576 -3.95763e+02 | 26 -0.01401 -4.45727e+02 | 27 -0.01233 -4.92335e+02
 28 -0.01218 -5.34402e+02 | 29 -0.00774 -6.07807e+02 | 30 -0.00726 -6.72279e+02
 31 -0.00795 -6.56121e+02 | 32 -0.00754 -4.69492e+02 | 33  0.01731 -1.64554e+02
 34  0.01473  2.53307e+02 | 35  0.00731  7.71062e+02 | 36  0.02030  1.50608e+03
 37  0.01869  1.68448e+03 | 38  0.01794  2.34529e+03 | 39  0.01819  2.81319e+03
 40  0.01172  2.74254e+03 | 41  0.01053  2.72286e+03 | 42  0.00962  2.90580e+03
 43  0.01219  3.29754e+03 | 44  0.01127  3.44207e+03 | 45  0.01780  3.41192e+03
 46  0.02140  2.76419e+03 | 47  0.01565  1.36673e+03 | 48  0.01500 -7.01791e+01
 49  0.02798 -1.01963e+03 | 50  0.02443 -1.07338e+03 | 51  0.02906 -1.07706e+03
 52  0.05270 -1.35460e+03 | 53  0.02692 -1.24931e+03 | 54  0.02893 -1.43462e+03
 55  0.02802 -1.59959e+03 | 56  0.02792 -1.80311e+03 | 57  0.02574 -1.85311e+03
 58  0.02555 -1.75568e+03 | 59  0.02474 -1.58989e+03 | 60  0.02704 -1.42547e+03
 61  0.02819 -1.12013e+03 | 62  0.02549 -6.92949e+02 | 63  0.02697 -4.15101e+02
 64  0.02906 -3.16999e+02 | 65  0.02699 -4.34034e+02 | 66  0.02788 -8.89870e+02
 67  0.02622 -1.36147e+03 | 68  0.02585 -1.37596e+03 | 69  0.02334 -8.12757e+02
 70  0.02158 -2.35810e+02 | 71  0.01864 -1.08218e+01 | 72  0.01511  2.45404e+01
 73  0.01405  7.17817e+00 | 74  0.00008  3.67713e+00 | 75 -0.00002  3.65842e+00
  ic > imax  in fminim is answer attained ?
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.25486  2.01784e+02 |  2  0.00710 -1.58357e+00 |  3  0.00696  1.44897e+00
  4  0.00740  4.31734e-01 |  5  0.01012 -4.73710e-01 |  6  0.00615 -3.06798e+00
  7  0.01089 -4.66794e+00 |  8  0.01217 -7.65129e+00 |  9  0.01638 -1.13413e+01
 10  0.01750 -1.67452e+01 | 11  0.01714 -2.27378e+01 | 12  0.01669 -3.00198e+01
 13  0.01737 -3.92714e+01 | 14  0.01706 -5.10117e+01 | 15  0.01709 -6.62240e+01
 16  0.01691 -8.51579e+01 | 17  0.01686 -1.08661e+02 | 18  0.01656 -1.36323e+02
 19  0.01519 -1.68537e+02 | 20 -0.01924 -1.65326e+02 | 21 -0.02295 -1.94823e+02
