###
console output
2025-12-30 04:24:38.328221
###
 
 reading from starter.ss
 reading from data file
Data read successful 999

 reading forecast file 
 reading from control file
End of control file successful! 999
Begin setting up parameters ...  end of parameter section 
Evaluating biology calculations once ... done
Starting optimization of 'ss3' in phase 1 of 4 at Tue Dec 30 04:20:37 2025
phase= 3 | nvar= 83 | iter=820 | nll=4.34e+01 | mag=4.95e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=840 | nll=4.34e+01 | mag=1.27e+04 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=860 | nll=4.32e+01 | mag=1.12e+04 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=880 | nll=4.31e+01 | mag=1.12e+04 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=900 | nll=4.30e+01 | mag=8.85e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=920 | nll=4.28e+01 | mag=1.58e+04 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=940 | nll=4.26e+01 | mag=1.01e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=960 | nll=4.24e+01 | mag=1.57e+04 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=980 | nll=4.22e+01 | mag=1.06e+04 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1000 | nll=4.21e+01 | mag=4.16e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1020 | nll=4.20e+01 | mag=6.62e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1040 | nll=4.18e+01 | mag=1.61e+04 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1060 | nll=4.16e+01 | mag=4.84e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1080 | nll=4.15e+01 | mag=1.19e+04 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1100 | nll=4.14e+01 | mag=8.65e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1120 | nll=4.13e+01 | mag=4.64e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1140 | nll=4.12e+01 | mag=9.76e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1160 | nll=4.11e+01 | mag=2.00e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1180 | nll=4.11e+01 | mag=3.26e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1200 | nll=4.10e+01 | mag=9.23e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1220 | nll=4.09e+01 | mag=1.12e+04 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1240 | nll=4.08e+01 | mag=1.51e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1260 | nll=4.07e+01 | mag=2.66e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1280 | nll=4.07e+01 | mag=7.27e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1300 | nll=4.07e+01 | mag=1.76e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1320 | nll=4.06e+01 | mag=6.50e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1340 | nll=4.06e+01 | mag=2.30e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1360 | nll=4.05e+01 | mag=8.99e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1380 | nll=4.04e+01 | mag=8.35e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1400 | nll=4.04e+01 | mag=6.63e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1420 | nll=4.04e+01 | mag=1.73e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1440 | nll=4.03e+01 | mag=2.02e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1460 | nll=4.03e+01 | mag=1.27e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1480 | nll=4.03e+01 | mag=4.36e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1500 | nll=4.03e+01 | mag=3.99e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1520 | nll=4.03e+01 | mag=1.93e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1540 | nll=4.03e+01 | mag=1.77e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1560 | nll=4.03e+01 | mag=2.00e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1580 | nll=4.03e+01 | mag=7.29e+00 | par[ 32]=recdev2[30]
phase= 3 | nvar= 83 | iter=1600 | nll=4.03e+01 | mag=2.92e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1620 | nll=4.03e+01 | mag=2.15e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1640 | nll=4.03e+01 | mag=9.12e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1660 | nll=4.03e+01 | mag=1.63e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1680 | nll=4.03e+01 | mag=1.10e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1700 | nll=4.02e+01 | mag=1.30e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1720 | nll=4.02e+01 | mag=4.40e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1740 | nll=4.02e+01 | mag=3.80e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1760 | nll=4.02e+01 | mag=1.42e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1780 | nll=4.02e+01 | mag=6.08e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1800 | nll=4.02e+01 | mag=1.05e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1820 | nll=4.02e+01 | mag=1.02e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1840 | nll=4.02e+01 | mag=1.75e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1860 | nll=4.02e+01 | mag=1.99e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1880 | nll=4.01e+01 | mag=3.82e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1900 | nll=4.01e+01 | mag=1.23e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1920 | nll=4.01e+01 | mag=5.21e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1940 | nll=4.01e+01 | mag=3.15e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1960 | nll=4.01e+01 | mag=1.24e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=1980 | nll=4.00e+01 | mag=8.75e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2000 | nll=4.00e+01 | mag=3.83e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2020 | nll=4.00e+01 | mag=2.55e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2040 | nll=3.99e+01 | mag=1.23e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2060 | nll=3.99e+01 | mag=2.43e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2080 | nll=3.99e+01 | mag=1.14e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2100 | nll=3.99e+01 | mag=1.17e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2120 | nll=3.99e+01 | mag=1.16e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2140 | nll=3.99e+01 | mag=1.73e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2160 | nll=3.99e+01 | mag=6.48e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2180 | nll=3.99e+01 | mag=2.36e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2200 | nll=3.99e+01 | mag=3.32e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2220 | nll=3.99e+01 | mag=5.61e+01 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2240 | nll=3.99e+01 | mag=2.06e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2260 | nll=3.98e+01 | mag=6.88e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2280 | nll=3.98e+01 | mag=8.72e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2300 | nll=3.98e+01 | mag=1.49e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2320 | nll=3.98e+01 | mag=8.20e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2340 | nll=3.98e+01 | mag=2.63e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2360 | nll=3.98e+01 | mag=3.26e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2380 | nll=3.98e+01 | mag=6.11e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2400 | nll=3.98e+01 | mag=1.56e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2420 | nll=3.98e+01 | mag=7.19e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2440 | nll=3.98e+01 | mag=2.90e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2460 | nll=3.98e+01 | mag=1.48e+03 | par[  1]=SR_parm[1]
