
Initial statistics: 75 variables; iteration 0; function evaluation 0; phase 1
Function value nan; maximum gradient component mag -1.1441e+07
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.18219 -1.14407e+07 |  2 -0.00107 -7.98059e+04 |  3 -0.01703 -8.07962e+04
  4 -0.02920 -6.53251e+04 |  5  0.04509 -3.40628e+04 |  6  0.02766 -5.48153e+03
  7  0.00728 -3.47963e+04 |  8  0.03713 -4.79648e+04 |  9  0.04894 -5.91737e+04
 10  0.02759 -7.03103e+04 | 11 -0.00632 -6.65066e+04 | 12 -0.03935 -5.87781e+04
 13 -0.03867 -5.97214e+04 | 14 -0.04882 -4.51912e+04 | 15  0.03102 -7.09355e+04
 16  0.01215 -6.24527e+04 | 17 -0.01909 -5.26480e+04 | 18  0.00263 -6.62344e+04
 19  0.04720 -9.01603e+04 | 20  0.00296 -1.06491e+05 | 21  0.01000 -1.13711e+05
 22  0.01572 -9.56872e+04 | 23  0.03264 -9.96192e+04 | 24  0.03676 -1.08492e+05
 25  0.00065 -9.88834e+04 | 26  0.01089 -1.11519e+05 | 27  0.02299 -1.17397e+05
 28  0.01105 -1.13298e+05 | 29 -0.04041 -8.84273e+04 | 30 -0.04136 -9.79859e+04
 31 -0.01530 -9.51578e+04 | 32  0.05170 -1.04382e+05 | 33  0.03867 -6.91398e+04
 34 -0.04342 -5.24390e+04 | 35 -0.04596 -4.71958e+04 | 36 -0.00282 -4.78244e+04
 37  0.02501 -4.90155e+04 | 38  0.04872 -5.02811e+04 | 39  0.03167 -5.65636e+04
 40 -0.01648 -5.23602e+04 | 41 -0.00041 -4.81127e+04 | 42  0.02030 -5.45301e+04
 43  0.00066 -4.80067e+04 | 44  0.01309 -5.62803e+04 | 45 -0.00281 -4.08663e+04
 46 -0.01789 -4.33105e+04 | 47  0.02338 -8.50695e+04 | 48 -0.00811 -6.68642e+04
 49  0.01678 -5.55547e+04 | 50 -0.00667 -4.48636e+04 | 51  0.04525 -8.54081e+04
 52 -0.04842 -5.48637e+04 | 53  0.00081 -4.97625e+04 | 54 -0.02896 -5.20003e+04
 55  0.04267 -7.68579e+04 | 56  0.02468 -6.94214e+04 | 57 -0.00490 -5.08489e+04
 58  0.04018 -5.16705e+04 | 59 -0.00575 -3.50287e+04 | 60  0.03875 -4.82148e+04
 61  0.00670 -4.68670e+04 | 62 -0.01296 -4.19089e+04 | 63  0.00891 -4.14469e+04
 64 -0.04875 -3.09167e+04 | 65 -0.04476 -3.49672e+04 | 66  0.00766 -4.87664e+04
 67 -0.02586 -4.13586e+04 | 68  0.01006 -6.27682e+04 | 69 -0.02683 -5.72929e+04
 70 -0.03579 -6.02364e+04 | 71 -0.03349 -7.10442e+04 | 72 -0.02738 -7.49874e+04
 73 -0.02620 -4.95213e+04 | 74 -0.05162 -1.60923e+04 | 75 -0.02522  2.06105e+02
  ic > imax  in fminim is answer attained ?
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.18026 -1.08642e+07 |  2 -0.00106 -6.00469e+04 |  3 -0.01701 -6.93706e+04
  4 -0.02919 -6.10162e+04 |  5  0.04510 -2.07596e+04 |  6  0.02766 -2.42361e+03
  7  0.00729 -3.30769e+04 |  8  0.03714 -4.65916e+04 |  9  0.04895 -5.81901e+04
 10  0.02760 -7.01734e+04 | 11 -0.00631 -6.69096e+04 | 12 -0.03934 -5.93524e+04
 13 -0.03866 -6.03799e+04 | 14 -0.04881 -4.58553e+04 | 15  0.03104 -7.16341e+04
 16  0.01216 -6.30875e+04 | 17 -0.01908 -5.32620e+04 | 18  0.00264 -6.65993e+04
 19  0.04722 -9.04051e+04 | 20  0.00297 -1.06447e+05 | 21  0.01002 -1.13879e+05
 22  0.01574 -9.58500e+04 | 23  0.03265 -9.98066e+04 | 24  0.03678 -1.08885e+05
 25  0.00066 -9.95320e+04 | 26  0.01091 -1.12358e+05 | 27  0.02301 -1.18323e+05
 28  0.01107 -1.14448e+05 | 29 -0.04039 -8.96570e+04 | 30 -0.04135 -9.94141e+04
 31 -0.01528 -9.65130e+04 | 32  0.05172 -1.05699e+05 | 33  0.03869 -7.05697e+04
 34 -0.04341 -5.34532e+04 | 35 -0.04595 -4.82878e+04 | 36 -0.00281 -4.88735e+04
 37  0.02502 -5.00797e+04 | 38  0.04873 -5.14447e+04 | 39  0.03168 -5.78260e+04
 40 -0.01647 -5.34882e+04 | 41 -0.00041 -4.92593e+04 | 42  0.02031 -5.58093e+04
 43  0.00067 -4.91490e+04 | 44  0.01310 -5.75881e+04 | 45 -0.00280 -4.18847e+04
 46 -0.01788 -4.43059e+04 | 47  0.02340 -8.67223e+04 | 48 -0.00810 -6.83418e+04
 49  0.01678 -5.68121e+04 | 50 -0.00667 -4.57692e+04 | 51  0.04526 -8.61518e+04
 52 -0.04841 -5.51898e+04 | 53  0.00082 -5.08044e+04 | 54 -0.02895 -5.28908e+04
 55  0.04268 -7.82246e+04 | 56  0.02470 -7.06530e+04 | 57 -0.00489 -5.18439e+04
 58  0.04019 -5.28838e+04 | 59 -0.00574 -3.58777e+04 | 60  0.03875 -4.93696e+04
 61  0.00671 -4.79240e+04 | 62 -0.01296 -4.28629e+04 | 63  0.00892 -4.24770e+04
