
Initial statistics: 75 variables; iteration 0; function evaluation 0; phase 1
Function value 5.7370828e+06; maximum gradient component mag -1.1378e+07
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.16016 -1.13784e+07 |  2 -0.03695 -5.41522e+04 |  3 -0.02429 -8.61258e+04
  4 -0.00435 -9.31438e+04 |  5 -0.04520 -1.99396e+04 |  6 -0.01791  5.71865e+03
  7  0.00050 -8.57047e+02 |  8 -0.03003 -3.55590e+04 |  9 -0.01673 -5.07458e+04
 10  0.03694 -7.84254e+04 | 11 -0.03873 -5.51748e+04 | 12  0.00570 -7.37546e+04
 13  0.00455 -6.50984e+04 | 14  0.04687 -7.67022e+04 | 15  0.01809 -6.84508e+04
 16 -0.01455 -5.78009e+04 | 17  0.03813 -7.24708e+04 | 18  0.04077 -8.00712e+04
 19 -0.05090 -6.14412e+04 | 20 -0.04506 -1.18724e+05 | 21 -0.03022 -1.17184e+05
 22 -0.01554 -1.02089e+05 | 23 -0.01556 -9.61406e+04 | 24  0.04987 -1.22241e+05
 25  0.01080 -1.13471e+05 | 26 -0.02239 -1.04987e+05 | 27  0.04525 -1.39976e+05
 28 -0.00196 -1.11056e+05 | 29  0.01670 -1.26231e+05 | 30 -0.01553 -1.12301e+05
 31  0.04824 -1.38118e+05 | 32 -0.00475 -8.87817e+04 | 33  0.04167 -7.90268e+04
 34  0.02424 -8.48477e+04 | 35  0.01575 -8.13750e+04 | 36  0.00922 -6.04642e+04
 37  0.02960 -6.20171e+04 | 38 -0.04190 -3.28211e+04 | 39  0.03867 -7.18352e+04
 40  0.00052 -6.72045e+04 | 41  0.04255 -7.47139e+04 | 42  0.02181 -6.43695e+04
 43 -0.00900 -5.40618e+04 | 44 -0.04367 -4.52506e+04 | 45  0.03274 -6.28065e+04
 46 -0.04027 -4.40866e+04 | 47 -0.00748 -7.83886e+04 | 48  0.03730 -9.24603e+04
 49  0.05168 -6.03730e+04 | 50  0.01214 -4.59357e+04 | 51 -0.00845 -6.63585e+04
 52 -0.05217 -5.66758e+04 | 53  0.00276 -5.33455e+04 | 54 -0.02834 -5.60111e+04
 55 -0.04217 -4.58676e+04 | 56  0.01702 -6.47332e+04 | 57  0.03116 -6.15881e+04
 58 -0.04475 -2.75026e+04 | 59 -0.03769 -2.72229e+04 | 60  0.04609 -4.57631e+04
 61  0.04873 -5.77555e+04 | 62 -0.00230 -4.18394e+04 | 63  0.02550 -4.34882e+04
 64 -0.03725 -3.16531e+04 | 65  0.01220 -4.74344e+04 | 66  0.01721 -4.18289e+04
 67  0.00988 -4.06611e+04 | 68  0.01194 -4.36968e+04 | 69  0.05105 -6.58437e+04
 70  0.00734 -5.08107e+04 | 71  0.01961 -6.57520e+04 | 72 -0.04203 -4.34912e+04
 73  0.03814 -5.56326e+04 | 74  0.04799 -3.54505e+04 | 75 -0.01497  2.19110e+02

Intermediate statistics: 75 variables; iteration 20; function evaluation 37; phase 1
Function value -3.4075584e+01; maximum gradient component mag -2.1873e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  1.80076  1.45364e+01 |  2  0.00510  1.11799e+00 |  3 -0.01440  2.30672e-01
  4 -0.01650 -3.12245e-01 |  5 -0.01105  9.90901e-01 |  6 -0.01357  3.32033e-01
  7 -0.01544 -1.81324e-01 |  8 -0.01241  4.88630e-01 |  9 -0.01375  8.70133e-02
 10 -0.01926 -1.32133e+00 | 11 -0.01116  5.73176e-01 | 12 -0.01535 -5.11834e-01
 13 -0.01458 -4.09467e-01 | 14 -0.01791 -1.30263e+00 | 15 -0.01444 -5.75494e-01
 16 -0.01054  1.59295e-01 | 17 -0.01299 -7.11302e-01 | 18 -0.01092 -5.63493e-01
 19 -0.00485  4.16558e-01 | 20 -0.00315  2.66226e-01 | 21 -0.00057  1.71890e-01
 22  0.00330  2.04174e-01 | 23  0.00805  2.45319e-01 | 24  0.01862  1.29714e+00
 25  0.02126  8.70108e-01 | 26  0.03168  2.04716e+00 | 27  0.02409  6.58896e-01
 28  0.02804  1.97599e+00 | 29  0.01866  1.93607e+00 | 30  0.00494  1.85570e+00
 31 -0.01217  7.22515e-01 | 32 -0.00997  2.67092e+00 | 33 -0.01916  1.81678e+00
 34 -0.03772 -3.59320e+00 | 35  0.00968 -4.21361e+00 | 36  0.20960 -1.11760e+00
 37 -0.13835 -1.28845e+01 | 38 -0.13825  1.13155e+01 | 39 -0.12779  2.76083e+00
 40 -0.02885  5.99972e-02 | 41 -0.03037 -1.19295e+00 | 42 -0.02662 -1.18655e+00
 43 -0.02576 -1.52074e+00 | 44 -0.02695 -2.61618e+00 | 45 -0.01511 -1.86661e+00
 46 -0.01906 -5.18200e+00 | 47 -0.02564 -5.15704e+00 | 48 -0.03863 -5.22237e+00
 49  0.06813  2.16923e+01 | 50 -0.05407 -8.74618e+00 | 51 -0.02603 -2.59931e+00
 52 -0.02777 -9.40521e+00 | 53 -0.07746 -2.18725e+01 | 54 -0.04095 -1.71435e+01
 55  0.06413 -1.18771e+01 | 56 -0.03776 -1.78033e+01 | 57  0.00064 -8.38464e+00
 58  0.02050 -1.55247e+00 | 59 -0.03143 -8.09783e+00 | 60 -0.01284  2.75165e+00
 61 -0.01244  7.65811e+00 | 62 -0.02312  8.96983e+00 | 63 -0.03544  1.16824e+01
 64 -0.04120  8.67796e+00 | 65 -0.01854  5.96592e+00 | 66  0.05163  1.73984e+01
 67 -0.01586  1.01322e+01 | 68 -0.03855  1.56976e+01 | 69 -0.04712  1.52840e+01
 70 -0.06896  3.62531e+00 | 71 -0.06157  2.61002e+00 | 72 -0.04066  1.34345e+00
 73 -0.02689 -1.02679e+00 | 74 -0.02202 -1.25147e+00 | 75 -0.01480  5.33105e-01
75 variables; iteration 40; function evaluation 71; phase 1
Function value -3.7127294e+01; maximum gradient component mag 1.5068e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  1.80063  1.50677e+01 |  2  0.00067  1.56187e-02 |  3 -0.01485  1.08390e-01
  4 -0.01457  1.48761e-01 |  5 -0.01514 -2.08138e-02 |  6 -0.01499 -1.97712e-02
  7 -0.01462  1.89592e-02 |  8 -0.01431  3.29232e-02 |  9 -0.01386  7.73823e-02
 10 -0.01310  1.96736e-01 | 11 -0.01342  5.70801e-02 | 12 -0.01276  1.47581e-01
 13 -0.01251  1.29837e-01 | 14 -0.01180  2.05641e-01 | 15 -0.01162  1.44783e-01
 16 -0.01112  7.09550e-02 | 17 -0.00938  1.70622e-01 | 18 -0.00781  1.76920e-01
 19 -0.00647  4.94403e-02 | 20 -0.00353  1.53156e-01 | 21 -0.00034  1.56656e-01
 22  0.00377  1.90158e-01 | 23  0.00963  3.87299e-01 | 24  0.01351  9.08041e-02
 25  0.01790 -5.92670e-02 | 26  0.02423  3.57787e-01 | 27  0.02359  7.34836e-02
 28  0.01912 -1.48159e-01 | 29  0.01272  2.47695e-01 | 30 -0.00024  2.68511e-01
 31 -0.01237  2.92237e-01 | 32 -0.01803  2.45786e-01 | 33 -0.02491  2.67085e-01
 34 -0.02749 -4.14901e-02 | 35  0.02460 -1.62796e-01 | 36  0.20500  2.33922e-02
 37 -0.10478  5.10022e-01 | 38 -0.16141 -2.44290e-01 | 39 -0.13416  2.19053e-01
 40 -0.03001  2.20611e-01 | 41 -0.02752  1.72018e-01 | 42 -0.02457  1.20543e-01
 43 -0.02345  8.97413e-02 | 44 -0.02224  9.26980e-02 | 45 -0.01769  2.19548e-01
 46 -0.01342  3.25620e-02 | 47 -0.01312  5.01282e-01 | 48 -0.00792  5.83831e-01
 49  0.00421 -1.75046e-01 | 50 -0.01321  1.82829e-01 | 51 -0.03702  3.67602e-02
 52 -0.03679  1.52292e-01 | 53 -0.03213  2.13020e-01 | 54 -0.01699  4.76450e-02
 55  0.01725 -2.71870e-01 | 56  0.01440 -4.85444e-01 | 57  0.00022 -2.81652e-01
