###
console output
2025-12-30 04:32:38.063461
###
 
 reading from starter.ss
 reading from data file
Data read successful 999

 reading forecast file 
 reading from control file
End of control file successful! 999
Begin setting up parameters ...  end of parameter section 
Evaluating biology calculations once ... done
Starting optimization of 'ss3' in phase 1 of 4 at Tue Dec 30 04:29:43 2025
phase= 1 | nvar= 70 | iter=  0 | nll=3.66e+06 | mag=1.45e+07 | par[  1]=SR_parm[1]
phase= 1 | nvar= 70 | iter= 20 | nll=1.10e+03 | mag=3.26e+02 | par[ 54]=recdev2[53]
phase= 1 | nvar= 70 | iter= 40 | nll=9.31e+02 | mag=6.11e+02 | par[ 47]=recdev2[46]
Exiting without success due to excessive function evaluations (maxfn=100) | mag=465.375
phase= 1 | nvar= 70 | iter= 57 | nll=7.36e+02 | mag=4.65e+02 | par[ 60]=recdev2[59]
phase= 2 | nvar= 70 | iter=  0 | nll=7.36e+02 | mag=4.65e+02 | par[ 60]=recdev2[59]
phase= 2 | nvar= 70 | iter= 20 | nll=4.48e+02 | mag=1.72e+02 | par[ 64]=recdev2[63]
phase= 2 | nvar= 70 | iter= 40 | nll=4.33e+02 | mag=6.06e+01 | par[ 42]=recdev2[41]
phase= 2 | nvar= 70 | iter= 60 | nll=4.26e+02 | mag=4.04e+01 | par[ 42]=recdev2[41]
Exiting without success due to excessive function evaluations (maxfn=100) | mag=26.419
phase= 2 | nvar= 70 | iter= 66 | nll=4.25e+02 | mag=2.64e+01 | par[ 60]=recdev2[59]
phase= 3 | nvar= 81 | iter=  0 | nll=4.25e+02 | mag=2.43e+02 | par[ 74]=selparm[7]
phase= 3 | nvar= 81 | iter= 20 | nll=2.35e+02 | mag=5.30e+02 | par[ 21]=recdev2[19]
phase= 3 | nvar= 81 | iter= 40 | nll=2.03e+02 | mag=1.52e+02 | par[ 21]=recdev2[19]
phase= 3 | nvar= 81 | iter= 60 | nll=1.91e+02 | mag=2.45e+01 | par[ 78]=selparm[19]
phase= 3 | nvar= 81 | iter= 80 | nll=1.81e+02 | mag=1.60e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=100 | nll=1.70e+02 | mag=1.28e+02 | par[ 39]=recdev2[37]
phase= 3 | nvar= 81 | iter=120 | nll=1.53e+02 | mag=4.84e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=140 | nll=1.22e+02 | mag=5.11e+04 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=160 | nll=9.25e+01 | mag=3.26e+04 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=180 | nll=7.91e+01 | mag=3.76e+04 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=200 | nll=7.47e+01 | mag=3.33e+04 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=220 | nll=6.89e+01 | mag=5.39e+04 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=240 | nll=6.54e+01 | mag=3.37e+04 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=260 | nll=6.29e+01 | mag=2.03e+04 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=280 | nll=6.25e+01 | mag=6.01e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=300 | nll=6.21e+01 | mag=1.73e+04 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=320 | nll=6.04e+01 | mag=2.07e+04 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=340 | nll=5.85e+01 | mag=1.03e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=360 | nll=5.78e+01 | mag=1.33e+04 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=380 | nll=5.71e+01 | mag=1.18e+04 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=400 | nll=5.65e+01 | mag=1.86e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=420 | nll=5.62e+01 | mag=3.59e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=440 | nll=5.60e+01 | mag=3.39e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=460 | nll=5.60e+01 | mag=1.25e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=480 | nll=5.59e+01 | mag=1.09e+04 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=500 | nll=5.57e+01 | mag=3.88e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=520 | nll=5.57e+01 | mag=5.38e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=540 | nll=5.57e+01 | mag=6.19e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=560 | nll=5.56e+01 | mag=1.83e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=580 | nll=5.56e+01 | mag=4.68e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=600 | nll=5.56e+01 | mag=1.19e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=620 | nll=5.56e+01 | mag=2.63e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=640 | nll=5.56e+01 | mag=1.92e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=660 | nll=5.56e+01 | mag=6.04e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=680 | nll=5.56e+01 | mag=6.13e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=700 | nll=5.55e+01 | mag=9.37e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=720 | nll=5.55e+01 | mag=3.46e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=740 | nll=5.55e+01 | mag=5.37e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=760 | nll=5.54e+01 | mag=3.24e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=780 | nll=5.54e+01 | mag=5.68e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=800 | nll=5.54e+01 | mag=1.04e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=820 | nll=5.54e+01 | mag=2.94e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=840 | nll=5.54e+01 | mag=1.30e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=860 | nll=5.53e+01 | mag=6.63e+01 | par[ 74]=selparm[7]
phase= 3 | nvar= 81 | iter=880 | nll=5.53e+01 | mag=1.23e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=900 | nll=5.53e+01 | mag=7.38e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=920 | nll=5.53e+01 | mag=6.00e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=940 | nll=5.53e+01 | mag=6.11e+01 | par[ 74]=selparm[7]
phase= 3 | nvar= 81 | iter=960 | nll=5.53e+01 | mag=6.07e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=980 | nll=5.53e+01 | mag=1.40e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=1000 | nll=5.53e+01 | mag=1.37e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=1020 | nll=5.53e+01 | mag=1.81e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=1040 | nll=5.52e+01 | mag=7.50e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=1060 | nll=5.52e+01 | mag=1.66e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=1080 | nll=5.52e+01 | mag=1.04e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=1100 | nll=5.52e+01 | mag=9.15e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=1120 | nll=5.52e+01 | mag=1.72e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=1140 | nll=5.51e+01 | mag=6.92e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=1160 | nll=5.50e+01 | mag=1.60e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=1180 | nll=5.50e+01 | mag=2.54e+02 | par[ 74]=selparm[7]
phase= 3 | nvar= 81 | iter=1200 | nll=5.50e+01 | mag=1.43e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=1220 | nll=5.50e+01 | mag=8.50e+01 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=1240 | nll=5.50e+01 | mag=4.44e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=1260 | nll=5.50e+01 | mag=7.87e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=1280 | nll=5.50e+01 | mag=1.90e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=1300 | nll=5.50e+01 | mag=2.70e+03 | par[ 74]=selparm[7]
phase= 3 | nvar= 81 | iter=1320 | nll=5.49e+01 | mag=4.15e+03 | par[ 74]=selparm[7]
phase= 3 | nvar= 81 | iter=1340 | nll=5.49e+01 | mag=1.12e+04 | par[ 74]=selparm[7]
phase= 3 | nvar= 81 | iter=1360 | nll=5.47e+01 | mag=1.06e+04 | par[ 74]=selparm[7]
phase= 3 | nvar= 81 | iter=1380 | nll=5.46e+01 | mag=5.98e+02 | par[ 74]=selparm[7]
phase= 3 | nvar= 81 | iter=1400 | nll=5.45e+01 | mag=6.10e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=1420 | nll=5.41e+01 | mag=6.96e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=1440 | nll=5.40e+01 | mag=1.24e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=1460 | nll=5.39e+01 | mag=1.49e+04 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=1480 | nll=5.38e+01 | mag=2.50e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 81 | iter=1500 | nll=5.38e+01 | mag=2.65e+03 | par[  1]=SR_parm[1]
