###
console output
2025-12-30 04:20:36.490909
###
 
 reading from starter.ss
 reading from data file
Data read successful 999

 reading forecast file 
 reading from control file
End of control file successful! 999
Begin setting up parameters ...  end of parameter section 
Evaluating biology calculations once ... done
Starting optimization of 'ss3' in phase 1 of 4 at Tue Dec 30 04:08:58 2025
phase= 1 | nvar= 73 | iter=  0 | nll=4.22e+06 | mag=1.21e+07 | par[  1]=SR_parm[1]
phase= 1 | nvar= 73 | iter= 20 | nll=1.15e+03 | mag=6.41e+02 | par[ 59]=recdev2[58]
phase= 1 | nvar= 73 | iter= 40 | nll=9.02e+02 | mag=1.21e+03 | par[ 58]=recdev2[57]
phase= 1 | nvar= 73 | iter= 60 | nll=7.75e+02 | mag=7.17e+02 | par[ 58]=recdev2[57]
Exiting without success due to excessive function evaluations (maxfn=100) | mag=253.801
phase= 1 | nvar= 73 | iter= 72 | nll=6.47e+02 | mag=2.54e+02 | par[ 61]=recdev2[60]
phase= 2 | nvar= 73 | iter=  0 | nll=6.47e+02 | mag=2.54e+02 | par[ 61]=recdev2[60]
phase= 2 | nvar= 73 | iter= 20 | nll=4.90e+02 | mag=2.25e+02 | par[ 68]=recdev2[67]
phase= 2 | nvar= 73 | iter= 40 | nll=4.65e+02 | mag=1.22e+02 | par[ 68]=recdev2[67]
phase= 2 | nvar= 73 | iter= 60 | nll=4.61e+02 | mag=3.58e+01 | par[ 49]=recdev2[48]
Exiting without success due to excessive function evaluations (maxfn=100) | mag=41.6905
phase= 2 | nvar= 73 | iter= 71 | nll=4.60e+02 | mag=4.17e+01 | par[ 68]=recdev2[67]
phase= 3 | nvar= 84 | iter=  0 | nll=4.60e+02 | mag=2.21e+02 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter= 20 | nll=3.08e+02 | mag=3.95e+02 | par[ 83]=selparm[25]
phase= 3 | nvar= 84 | iter= 40 | nll=2.96e+02 | mag=2.76e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 84 | iter= 60 | nll=2.52e+02 | mag=1.20e+03 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter= 80 | nll=2.11e+02 | mag=4.41e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 84 | iter=100 | nll=1.84e+02 | mag=7.85e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 84 | iter=120 | nll=1.50e+02 | mag=8.28e+03 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=140 | nll=1.24e+02 | mag=5.75e+03 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=160 | nll=1.14e+02 | mag=3.76e+04 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=180 | nll=1.08e+02 | mag=1.01e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=200 | nll=1.03e+02 | mag=3.76e+04 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=220 | nll=1.01e+02 | mag=4.12e+04 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=240 | nll=9.94e+01 | mag=9.07e+04 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=260 | nll=9.80e+01 | mag=2.26e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=280 | nll=9.71e+01 | mag=1.01e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=300 | nll=9.62e+01 | mag=1.60e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=320 | nll=9.49e+01 | mag=1.16e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=340 | nll=9.39e+01 | mag=1.60e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=360 | nll=9.28e+01 | mag=1.60e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=380 | nll=9.17e+01 | mag=6.98e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 84 | iter=400 | nll=9.11e+01 | mag=1.28e+05 | par[  1]=SR_parm[1]
phase= 3 | nvar= 84 | iter=420 | nll=9.08e+01 | mag=5.93e+04 | par[  1]=SR_parm[1]
phase= 3 | nvar= 84 | iter=440 | nll=9.06e+01 | mag=3.65e+04 | par[  1]=SR_parm[1]
phase= 3 | nvar= 84 | iter=460 | nll=9.04e+01 | mag=1.52e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=480 | nll=9.01e+01 | mag=3.31e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=500 | nll=8.97e+01 | mag=3.63e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=520 | nll=8.95e+01 | mag=3.37e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=540 | nll=8.93e+01 | mag=1.30e+04 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=560 | nll=8.91e+01 | mag=1.05e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=580 | nll=8.90e+01 | mag=1.98e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=600 | nll=8.89e+01 | mag=2.00e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=620 | nll=8.88e+01 | mag=1.82e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=640 | nll=8.88e+01 | mag=4.43e+04 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=660 | nll=8.87e+01 | mag=1.83e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=680 | nll=8.86e+01 | mag=1.91e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=700 | nll=8.85e+01 | mag=1.06e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=720 | nll=8.85e+01 | mag=2.08e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=740 | nll=8.84e+01 | mag=2.55e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=760 | nll=8.83e+01 | mag=2.78e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=780 | nll=8.82e+01 | mag=2.64e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=800 | nll=8.81e+01 | mag=1.48e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=820 | nll=8.80e+01 | mag=4.77e+04 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=840 | nll=8.80e+01 | mag=2.15e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=860 | nll=8.79e+01 | mag=1.96e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=880 | nll=8.79e+01 | mag=9.53e+04 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=900 | nll=8.78e+01 | mag=2.37e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=920 | nll=8.77e+01 | mag=1.65e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=940 | nll=8.77e+01 | mag=6.90e+04 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=960 | nll=8.77e+01 | mag=1.81e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=980 | nll=8.76e+01 | mag=1.06e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=1000 | nll=8.76e+01 | mag=1.29e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=1020 | nll=8.76e+01 | mag=2.15e+04 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=1040 | nll=8.76e+01 | mag=1.66e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=1060 | nll=8.75e+01 | mag=1.45e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=1080 | nll=8.75e+01 | mag=2.78e+04 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=1100 | nll=8.75e+01 | mag=1.59e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=1120 | nll=8.75e+01 | mag=2.07e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=1140 | nll=8.75e+01 | mag=1.74e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=1160 | nll=8.74e+01 | mag=1.01e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=1180 | nll=8.74e+01 | mag=8.91e+04 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=1200 | nll=8.74e+01 | mag=1.95e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=1220 | nll=8.73e+01 | mag=1.20e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=1240 | nll=8.73e+01 | mag=2.09e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=1260 | nll=8.73e+01 | mag=1.11e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=1280 | nll=8.72e+01 | mag=2.52e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=1300 | nll=8.72e+01 | mag=3.21e+05 | par[ 77]=selparm[7]
phase= 3 | nvar= 84 | iter=1320 | nll=8.72e+01 | mag=2.04e+05 | par[ 77]=selparm[7]
