"caption","alt_caption","label","filein"
"Retrospective patterns for spawning stock biomass (\emph{SSB}) when up to five years of data were removed from the base model. Mohn's rho (Mohn, 1999) values were recalculated for each peel given the removal of another year of data. See Table \ref{tab:RetroMohnsrho} for other derivations of Mohn's rho.","Each successive peel of data led to a Mohn's rho of -0.06, -0.11, -0.20, -0.26, and -0.34 for SSB.","RetroSsb","../C:/Kraken/MeroPYuc/SS-DL-tool-master/Scenarios/1983mexmidcpue_4cpues_h84_mixedgpar_retro/compare2_spawnbio_uncertainty.png"
"Retrospective patterns for fraction unfished when up to five years of data were removed from the base model. Mohn's rho (Mohn, 1999) values were recalculated for each peel given the removal of another year of data. See Table \ref{tab:RetroMohnsrho} for other derivations of Mohn's rho.","Each successive peel of data led to a Mohn's rho of -0.05, -0.09, -0.22, -0.32, and -0.46 for fraction unfished.","RetroFractionunfished","../C:/Kraken/MeroPYuc/SS-DL-tool-master/Scenarios/1983mexmidcpue_4cpues_h84_mixedgpar_retro/compare4_Bratio_uncertainty.png"
